month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2025-02,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2577
2025-02,Anxiety Disorders,RaceEthnicity,All,2390
2025-02,Anxiety Disorders,RaceEthnicity,"Asian, NH",1389
2025-02,Anxiety Disorders,RaceEthnicity,"Black, NH",1503
2025-02,Anxiety Disorders,RaceEthnicity,Hispanic,1861
2025-02,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1709
2025-02,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1101
2025-02,Anxiety Disorders,RaceEthnicity,"White, NH",2987
2025-01,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2576
2025-01,Anxiety Disorders,RaceEthnicity,All,2333
2025-01,Anxiety Disorders,RaceEthnicity,"Asian, NH",1356
2025-01,Anxiety Disorders,RaceEthnicity,"Black, NH",1437
2025-01,Anxiety Disorders,RaceEthnicity,Hispanic,1808
2025-01,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1586
2025-01,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1126
2025-01,Anxiety Disorders,RaceEthnicity,"White, NH",2961
2024-12,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2567
2024-12,Anxiety Disorders,RaceEthnicity,All,2273
2024-12,Anxiety Disorders,RaceEthnicity,"Asian, NH",1361
2024-12,Anxiety Disorders,RaceEthnicity,"Black, NH",1441
2024-12,Anxiety Disorders,RaceEthnicity,Hispanic,1778
2024-12,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1508
2024-12,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1117
2024-12,Anxiety Disorders,RaceEthnicity,"White, NH",2867
2024-11,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2794
2024-11,Anxiety Disorders,RaceEthnicity,All,2457
2024-11,Anxiety Disorders,RaceEthnicity,"Asian, NH",1529
2024-11,Anxiety Disorders,RaceEthnicity,"Black, NH",1578
2024-11,Anxiety Disorders,RaceEthnicity,Hispanic,1943
2024-11,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1697
2024-11,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1266
2024-11,Anxiety Disorders,RaceEthnicity,"White, NH",3060
2024-10,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2892
2024-10,Anxiety Disorders,RaceEthnicity,All,2482
2024-10,Anxiety Disorders,RaceEthnicity,"Asian, NH",1509
2024-10,Anxiety Disorders,RaceEthnicity,"Black, NH",1577
2024-10,Anxiety Disorders,RaceEthnicity,Hispanic,2027
2024-10,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1690
2024-10,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1380
2024-10,Anxiety Disorders,RaceEthnicity,"White, NH",3066
2024-09,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2898
2024-09,Anxiety Disorders,RaceEthnicity,All,2492
2024-09,Anxiety Disorders,RaceEthnicity,"Asian, NH",1459
2024-09,Anxiety Disorders,RaceEthnicity,"Black, NH",1584
2024-09,Anxiety Disorders,RaceEthnicity,Hispanic,2063
2024-09,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1703
2024-09,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1380
2024-09,Anxiety Disorders,RaceEthnicity,"White, NH",3070
2024-08,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2925
2024-08,Anxiety Disorders,RaceEthnicity,All,2522
2024-08,Anxiety Disorders,RaceEthnicity,"Asian, NH",1561
2024-08,Anxiety Disorders,RaceEthnicity,"Black, NH",1603
2024-08,Anxiety Disorders,RaceEthnicity,Hispanic,2129
2024-08,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1778
2024-08,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1656
2024-08,Anxiety Disorders,RaceEthnicity,"White, NH",3072
2024-07,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2895
2024-07,Anxiety Disorders,RaceEthnicity,All,2534
2024-07,Anxiety Disorders,RaceEthnicity,"Asian, NH",1517
2024-07,Anxiety Disorders,RaceEthnicity,"Black, NH",1648
2024-07,Anxiety Disorders,RaceEthnicity,Hispanic,2144
2024-07,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1789
2024-07,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1444
2024-07,Anxiety Disorders,RaceEthnicity,"White, NH",3075
2024-06,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2721
2024-06,Anxiety Disorders,RaceEthnicity,All,2484
2024-06,Anxiety Disorders,RaceEthnicity,"Asian, NH",1480
2024-06,Anxiety Disorders,RaceEthnicity,"Black, NH",1629
2024-06,Anxiety Disorders,RaceEthnicity,Hispanic,2077
2024-06,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1750
2024-06,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1406
2024-06,Anxiety Disorders,RaceEthnicity,"White, NH",3020
2024-05,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2815
2024-05,Anxiety Disorders,RaceEthnicity,All,2425
2024-05,Anxiety Disorders,RaceEthnicity,"Asian, NH",1456
