month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2024-03,Anxiety Disorders,Age,18-34 years,2866
2024-03,Anxiety Disorders,Age,35-64 years,2960
2024-03,Anxiety Disorders,Age,65+ years,2624
2024-03,Anxiety Disorders,Age,All,2447
2024-02,Anxiety Disorders,Age,12-17 years,2042
2024-02,Anxiety Disorders,Age,18-34 years,2858
2024-02,Anxiety Disorders,Age,35-64 years,2977
2024-02,Anxiety Disorders,Age,65+ years,2604
2024-02,Anxiety Disorders,Age,All,2437
2024-01,Anxiety Disorders,Age,12-17 years,2167
2024-01,Anxiety Disorders,Age,18-34 years,2758
2024-01,Anxiety Disorders,Age,35-64 years,2905
2024-01,Anxiety Disorders,Age,65+ years,2609
2024-01,Anxiety Disorders,Age,All,2433
2023-12,Anxiety Disorders,Age,12-17 years,1847
2023-12,Anxiety Disorders,Age,18-34 years,2640
2023-12,Anxiety Disorders,Age,35-64 years,2753
2023-12,Anxiety Disorders,Age,65+ years,2493
2023-12,Anxiety Disorders,Age,All,2227
2023-11,Anxiety Disorders,Age,12-17 years,2118
2023-11,Anxiety Disorders,Age,18-34 years,2810
2023-11,Anxiety Disorders,Age,35-64 years,2904
2023-11,Anxiety Disorders,Age,65+ years,2558
2023-11,Anxiety Disorders,Age,All,2358
2023-10,Anxiety Disorders,Age,12-17 years,2188
2023-10,Anxiety Disorders,Age,18-34 years,2951
2023-10,Anxiety Disorders,Age,35-64 years,2999
2023-10,Anxiety Disorders,Age,65+ years,2590
2023-10,Anxiety Disorders,Age,All,2474
2023-09,Anxiety Disorders,Age,12-17 years,2097
2023-09,Anxiety Disorders,Age,18-34 years,2936
2023-09,Anxiety Disorders,Age,35-64 years,2971
2023-09,Anxiety Disorders,Age,65+ years,2552
2023-09,Anxiety Disorders,Age,All,2475
2023-08,Anxiety Disorders,Age,12-17 years,2237
2023-08,Anxiety Disorders,Age,18-34 years,2968
2023-08,Anxiety Disorders,Age,35-64 years,2948
2023-08,Anxiety Disorders,Age,65+ years,2557
2023-08,Anxiety Disorders,Age,All,2529
2023-07,Anxiety Disorders,Age,12-17 years,2314
2023-07,Anxiety Disorders,Age,18-34 years,2981
2023-07,Anxiety Disorders,Age,35-64 years,2985
2023-07,Anxiety Disorders,Age,65+ years,2553
2023-07,Anxiety Disorders,Age,All,2563
2023-06,Anxiety Disorders,Age,12-17 years,2266
2023-06,Anxiety Disorders,Age,18-34 years,2959
2023-06,Anxiety Disorders,Age,35-64 years,2978
2023-06,Anxiety Disorders,Age,65+ years,2579
2023-06,Anxiety Disorders,Age,All,2529
2023-05,Anxiety Disorders,Age,12-17 years,2309
2023-05,Anxiety Disorders,Age,18-34 years,2956
2023-05,Anxiety Disorders,Age,35-64 years,2993
2023-05,Anxiety Disorders,Age,65+ years,2607
2023-05,Anxiety Disorders,Age,All,2482
2023-04,Anxiety Disorders,Age,12-17 years,2455
2023-04,Anxiety Disorders,Age,18-34 years,3029
2023-04,Anxiety Disorders,Age,35-64 years,3081
2023-04,Anxiety Disorders,Age,65+ years,2655
2023-04,Anxiety Disorders,Age,All,2548
2023-03,Anxiety Disorders,Age,12-17 years,2541
2023-03,Anxiety Disorders,Age,18-34 years,3061
2023-03,Anxiety Disorders,Age,35-64 years,3113
2023-03,Anxiety Disorders,Age,65+ years,2700
2023-03,Anxiety Disorders,Age,All,2573
2023-02,Anxiety Disorders,Age,12-17 years,2555
2023-02,Anxiety Disorders,Age,18-34 years,3097
2023-02,Anxiety Disorders,Age,35-64 years,3139
2023-02,Anxiety Disorders,Age,65+ years,2697
2023-02,Anxiety Disorders,Age,All,2596
2023-01,Anxiety Disorders,Age,12-17 years,2691
2023-01,Anxiety Disorders,Age,18-34 years,3160
2023-01,Anxiety Disorders,Age,35-64 years,3139
2023-01,Anxiety Disorders,Age,65+ years,2708
2023-01,Anxiety Disorders,Age,All,2662
2022-12,Anxiety Disorders,Age,12-17 years,2024
2022-12,Anxiety Disorders,Age,18-34 years,2724
2022-12,Anxiety Disorders,Age,35-64 years,2836
2022-12,Anxiety Disorders,Age,65+ years,2553
2022-12,Anxiety Disorders,Age,All,2303
2022-11,Anxiety Disorders,Age,12-17 years,1879
2022-11,Anxiety Disorders,Age,18-34 years,2681
2022-11,Anxiety Disorders,Age,35-64 years,2840
2022-11,Anxiety Disorders,Age,65+ years,2534
2022-11,Anxiety Disorders,Age,All,2198
2022-10,Anxiety Disorders,Age,12-17 years,2081
2022-10,Anxiety Disorders,Age,18-34 years,2898
2022-10,Anxiety Disorders,Age,35-64 years,2934
2022-10,Anxiety Disorders,Age,65+ years,2579
2022-10,Anxiety Disorders,Age,All,2342
2022-09,Anxiety Disorders,Age,12-17 years,2240
2022-09,Anxiety Disorders,Age,18-34 years,2967
2022-09,Anxiety Disorders,Age,35-64 years,2967
2022-09,Anxiety Disorders,Age,65+ years,2449
2022-09,Anxiety Disorders,Age,All,2409
2022-08,Anxiety Disorders,Age,12-17 years,2308
2022-08,Anxiety Disorders,Age,18-34 years,3003
2022-08,Anxiety Disorders,Age,35-64 years,2988
2022-08,Anxiety Disorders,Age,65+ years,2399
2022-08,Anxiety Disorders,Age,All,2484
2022-07,Anxiety Disorders,Age,12-17 years,2402
