month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2022-06,Anxiety Disorders,Sex,Male,1947
2022-05,Anxiety Disorders,Sex,All,2470
2022-05,Anxiety Disorders,Sex,Female,2927
2022-05,Anxiety Disorders,Sex,Male,1943
2022-04,Anxiety Disorders,Sex,All,2629
2022-04,Anxiety Disorders,Sex,Female,3124
2022-04,Anxiety Disorders,Sex,Male,2072
2022-03,Anxiety Disorders,Sex,All,2746
2022-03,Anxiety Disorders,Sex,Female,3240
2022-03,Anxiety Disorders,Sex,Male,2193
2022-02,Anxiety Disorders,Sex,All,2844
2022-02,Anxiety Disorders,Sex,Female,3366
2022-02,Anxiety Disorders,Sex,Male,2268
2022-01,Anxiety Disorders,Sex,All,2476
2022-01,Anxiety Disorders,Sex,Female,2891
2022-01,Anxiety Disorders,Sex,Male,2017
2021-12,Anxiety Disorders,Sex,All,2378
2021-12,Anxiety Disorders,Sex,Female,2785
2021-12,Anxiety Disorders,Sex,Male,1926
2021-11,Anxiety Disorders,Sex,All,2603
2021-11,Anxiety Disorders,Sex,Female,3088
2021-11,Anxiety Disorders,Sex,Male,2068
2021-10,Anxiety Disorders,Sex,All,2714
2021-10,Anxiety Disorders,Sex,Female,3254
2021-10,Anxiety Disorders,Sex,Male,2123
2021-09,Anxiety Disorders,Sex,All,2671
2021-09,Anxiety Disorders,Sex,Female,3219
2021-09,Anxiety Disorders,Sex,Male,2077
2021-08,Anxiety Disorders,Sex,All,2606
2021-08,Anxiety Disorders,Sex,Female,3140
2021-08,Anxiety Disorders,Sex,Male,2025
2021-07,Anxiety Disorders,Sex,All,2752
2021-07,Anxiety Disorders,Sex,Female,3296
2021-07,Anxiety Disorders,Sex,Male,2152
2021-06,Anxiety Disorders,Sex,All,2888
2021-06,Anxiety Disorders,Sex,Female,3459
2021-06,Anxiety Disorders,Sex,Male,2263
2021-05,Anxiety Disorders,Sex,All,2949
2021-05,Anxiety Disorders,Sex,Female,3535
2021-05,Anxiety Disorders,Sex,Male,2307
2021-04,Anxiety Disorders,Sex,All,3034
2021-04,Anxiety Disorders,Sex,Female,3623
2021-04,Anxiety Disorders,Sex,Male,2388
2021-03,Anxiety Disorders,Sex,All,3252
2021-03,Anxiety Disorders,Sex,Female,3883
2021-03,Anxiety Disorders,Sex,Male,2571
2021-02,Anxiety Disorders,Sex,All,3387
2021-02,Anxiety Disorders,Sex,Female,4013
2021-02,Anxiety Disorders,Sex,Male,2701
2021-01,Anxiety Disorders,Sex,All,3324
2021-01,Anxiety Disorders,Sex,Female,3931
2021-01,Anxiety Disorders,Sex,Male,2651
2020-12,Anxiety Disorders,Sex,All,3192
2020-12,Anxiety Disorders,Sex,Female,3791
2020-12,Anxiety Disorders,Sex,Male,2537
2020-11,Anxiety Disorders,Sex,All,3203
2020-11,Anxiety Disorders,Sex,Female,3836
2020-11,Anxiety Disorders,Sex,Male,2500
2020-10,Anxiety Disorders,Sex,All,3382
2020-10,Anxiety Disorders,Sex,Female,4091
2020-10,Anxiety Disorders,Sex,Male,2598
2020-09,Anxiety Disorders,Sex,All,3570
2020-09,Anxiety Disorders,Sex,Female,4334
2020-09,Anxiety Disorders,Sex,Male,2737
2020-08,Anxiety Disorders,Sex,All,3567
2020-08,Anxiety Disorders,Sex,Female,4337
2020-08,Anxiety Disorders,Sex,Male,2734
2020-07,Anxiety Disorders,Sex,All,3485
2020-07,Anxiety Disorders,Sex,Female,4233
2020-07,Anxiety Disorders,Sex,Male,2678
2020-06,Anxiety Disorders,Sex,All,3576
2020-06,Anxiety Disorders,Sex,Female,4345
2020-06,Anxiety Disorders,Sex,Male,2758
2020-05,Anxiety Disorders,Sex,All,3794
2020-05,Anxiety Disorders,Sex,Female,4583
2020-05,Anxiety Disorders,Sex,Male,2964
2020-04,Anxiety Disorders,Sex,All,3813
2020-04,Anxiety Disorders,Sex,Female,4595
2020-04,Anxiety Disorders,Sex,Male,3009
2020-03,Anxiety Disorders,Sex,All,3008
2020-03,Anxiety Disorders,Sex,Female,3599
2020-03,Anxiety Disorders,Sex,Male,2354
2020-02,Anxiety Disorders,Sex,All,2873
2020-02,Anxiety Disorders,Sex,Female,3426
2020-02,Anxiety Disorders,Sex,Male,2237
2020-01,Anxiety Disorders,Sex,All,2787
2020-01,Anxiety Disorders,Sex,Female,3293
2020-01,Anxiety Disorders,Sex,Male,2193
2019-12,Anxiety Disorders,Sex,All,2678
2019-12,Anxiety Disorders,Sex,Female,3178
2019-12,Anxiety Disorders,Sex,Male,2099
2019-11,Anxiety Disorders,Sex,All,2786
2019-11,Anxiety Disorders,Sex,Female,3341
2019-11,Anxiety Disorders,Sex,Male,2145
2019-10,Anxiety Disorders,Sex,All,2886
2019-10,Anxiety Disorders,Sex,Female,3473
2019-10,Anxiety Disorders,Sex,Male,2215
2019-09,Anxiety Disorders,Sex,All,2919
2019-09,Anxiety Disorders,Sex,Female,3506
2019-09,Anxiety Disorders,Sex,Male,2251
2019-08,Anxiety Disorders,Sex,All,2990
2019-08,Anxiety Disorders,Sex,Female,3600
2019-08,Anxiety Disorders,Sex,Male,2296
2019-07,Anxiety Disorders,Sex,All,2921
2019-07,Anxiety Disorders,Sex,Female,3508
2019-07,Anxiety Disorders,Sex,Male,2251
2019-06,Anxiety Disorders,Sex,All,2809
2019-06,Anxiety Disorders,Sex,Female,3381
2019-06,Anxiety Disorders,Sex,Male,2153
2019-05,Anxiety Disorders,Sex,All,2768
2019-05,Anxiety Disorders,Sex,Female,3319
2019-05,Anxiety Disorders,Sex,Male,2126
2019-04,Anxiety Disorders,Sex,All,2749
2019-04,Anxiety Disorders,Sex,Female,3263
2019-04,Anxiety Disorders,Sex,Male,2117
2019-03,Anxiety Disorders,Sex,All,2677
2019-03,Anxiety Disorders,Sex,Female,3166
2019-03,Anxiety Disorders,Sex,Male,2070
2019-02,Anxiety Disorders,Sex,All,2581
2019-02,Anxiety Disorders,Sex,Female,3042
2019-02,Anxiety Disorders,Sex,Male,2007
2019-01,Anxiety Disorders,Sex,All,2528
2019-01,Anxiety Disorders,Sex,Female,2958
2019-01,Anxiety Disorders,Sex,Male,1990
2025-12,Any Mental Health,Sex,All,4707
2025-12,Any Mental Health,Sex,Female,4802
2025-12,Any Mental Health,Sex,Male,4585
2025-11,Any Mental Health,Sex,All,5204
2025-11,Any Mental Health,Sex,Female,5325
2025-11,Any Mental Health,Sex,Male,5051
2025-10,Any Mental Health,Sex,All,5284
2025-10,Any Mental Health,Sex,Female,5456
2025-10,Any Mental Health,Sex,Male,5068
2025-09,Any Mental Health,Sex,All,5201
2025-09,Any Mental Health,Sex,Female,5379
2025-09,Any Mental Health,Sex,Male,4979
2025-08,Any Mental Health,Sex,All,5169
2025-08,Any Mental Health,Sex,Female,5339
2025-08,Any Mental Health,Sex,Male,4961
2025-07,Any Mental Health,Sex,All,5249
2025-07,Any Mental Health,Sex,Female,5416
2025-07,Any Mental Health,Sex,Male,5045
2025-06,Any Mental Health,Sex,All,5242
2025-06,Any Mental Health,Sex,Female,5413
2025-06,Any Mental Health,Sex,Male,5035
2025-05,Any Mental Health,Sex,All,5190
2025-05,Any Mental Health,Sex,Female,5341
2025-05,Any Mental Health,Sex,Male,5004
2025-04,Any Mental Health,Sex,All,5219
2025-04,Any Mental Health,Sex,Female,5365
2025-04,Any Mental Health,Sex,Male,5031
2025-03,Any Mental Health,Sex,All,5177
2025-03,Any Mental Health,Sex,Female,5316
2025-03,Any Mental Health,Sex,Male,5004
2025-02,Any Mental Health,Sex,All,4884
2025-02,Any Mental Health,Sex,Female,4995
2025-02,Any Mental Health,Sex,Male,4746
2025-01,Any Mental Health,Sex,All,4780
2025-01,Any Mental Health,Sex,Female,4858
2025-01,Any Mental Health,Sex,Male,4675
2024-12,Any Mental Health,Sex,All,4613
2024-12,Any Mental Health,Sex,Female,4686
2024-12,Any Mental Health,Sex,Male,4517
2024-11,Any Mental Health,Sex,All,5023
2024-11,Any Mental Health,Sex,Female,5127
2024-11,Any Mental Health,Sex,Male,4891
2024-10,Any Mental Health,Sex,All,5087
2024-10,Any Mental Health,Sex,Female,5233
2024-10,Any Mental Health,Sex,Male,4904
2024-09,Any Mental Health,Sex,All,5090
2024-09,Any Mental Health,Sex,Female,5236
2024-09,Any Mental Health,Sex,Male,4909
2024-08,Any Mental Health,Sex,All,5094
2024-08,Any Mental Health,Sex,Female,5236
2024-08,Any Mental Health,Sex,Male,4918
2024-07,Any Mental Health,Sex,All,5110
2024-07,Any Mental Health,Sex,Female,5235
2024-07,Any Mental Health,Sex,Male,4953
2024-06,Any Mental Health,Sex,All,5047
2024-06,Any Mental Health,Sex,Female,5193
2024-06,Any Mental Health,Sex,Male,4867
2024-05,Any Mental Health,Sex,All,5024
2024-05,Any Mental Health,Sex,Female,5165
2024-05,Any Mental Health,Sex,Male,4852
2024-04,Any Mental Health,Sex,All,5106
2024-04,Any Mental Health,Sex,Female,5232
2024-04,Any Mental Health,Sex,Male,4964
2024-03,Any Mental Health,Sex,All,5057
2024-03,Any Mental Health,Sex,Female,5153
2024-03,Any Mental Health,Sex,Male,4959
2024-02,Any Mental Health,Sex,All,5040
2024-02,Any Mental Health,Sex,Female,5131
2024-02,Any Mental Health,Sex,Male,4950
2024-01,Any Mental Health,Sex,All,5027
2024-01,Any Mental Health,Sex,Female,5119
2024-01,Any Mental Health,Sex,Male,4930
2023-12,Any Mental Health,Sex,All,4583
2023-12,Any Mental Health,Sex,Female,4661
2023-12,Any Mental Health,Sex,Male,4505
2023-11,Any Mental Health,Sex,All,4912
