time_lst,tas,ps,hurs,sfcWind,rsds,huss
2001-01-31,13.084735023037636,101041.5414486559,59.741414474932796,1.9869678683830645,135.67084098262097,5.058516745295699
2001-02-28,16.750063536651787,101266.17039895833,49.428195224732136,1.5290563135357143,163.0763777421131,8.758507320229167
2001-03-31,15.920362903225806,100898.30139381721,64.96034946236558,1.6486335125443548,199.34520609314515,7.312516651625001
2001-04-30,14.854305555555555,100695.21355486111,77.19696811473611,1.8615625,265.5641203704167,4.746953305694444
2001-05-31,16.467724525685483,100627.71587298388,82.29714279612902,1.6780215108037633,273.0641161049731,16.068385963033602
2001-06-30,17.632215931944447,100310.10816169446,83.3296911618611,1.7459538688222223,272.43956740494446,8.737376415959723
2001-07-31,18.884622701129032,100580.19375913979,83.52725094,1.6954036872083333,304.9018395216398,3.167913754610215
2001-08-31,19.72995705732527,100528.92366895161,83.75164848350806,1.666274759766129,294.1447021509408,13.530772720576612
2001-09-30,20.73333241959722,100566.68569069444,78.067663255375,1.5946494708986112,216.89858796291668,10.695203845416668
2001-10-31,18.180227001196236,100533.65781801076,70.74775985662635,1.5623297491034944,180.9602278545296,6.625864472311827
2001-11-30,14.966490012902778,100810.80308923611,67.525006542875,1.3170311596152777,133.10175351208332,12.727617078758335
2001-12-31,16.678929851518816,101286.74440376344,46.21241359447581,1.3577956989247313,116.77822580645162,7.865387240041667
2002-01-31,15.894336699005375,101276.22250577957,51.42551250110215,1.7603187403991936,126.41655192758064,5.4171344599462365
2002-02-28,14.101422886577382,100773.29813726191,62.313988095238095,1.6601181280089288,161.32932049224704,5.840359761309524
2002-03-31,14.284016577056452,100797.94779798387,69.6659199522043,1.761242804388441,224.89628136196237,11.43704836128629
2002-04-30,16.348263888888887,100913.38972902778,63.35874269005555,1.8803472222222222,238.21444444444444,5.375585807361111
2002-05-31,15.395356038830647,100715.57700403225,82.9819808333871,1.8345611841196239,290.3379889439113,9.260049836416668
2002-06-30,18.56085342336111,100366.35625263889,83.43932724579167,1.673449447376389,286.8738000967639,11.28504309765139
2002-07-31,19.955793651760754,100566.07336248655,86.70178979510753,1.9038901262204302,283.23480398485214,4.33888018483871
2002-08-31,19.921461871290322,100585.56821384409,80.77760118901882,1.8495137396451613,299.00993669731184,9.749943547173386
2002-09-30,18.975806042888888,100447.64170120833,79.18231371251389,1.6085380842152777,241.7534259259722,13.061838165694445
2002-10-31,17.235657482083333,100530.68716411291,73.96591621864248,1.5739489994032259,199.58865847405914,4.7605204014784945
2002-11-30,17.2936996633125,100779.22643483333,57.37084065883334,1.3272210381027778,137.6089967728472,8.233084195547223
2002-12-31,14.998425499233871,101235.43663619623,47.468413978494624,1.7994623655913977,121.06048387096774,12.583722397169355
2003-01-31,14.405833114784945,101162.77586061828,55.15678599528226,1.5622887864825268,138.00703732857528,7.12380531706586
2003-02-28,12.086020264836309,100822.92853767857,76.32691278758928,1.5847084002127976,127.00354467635418,5.71903134196875
2003-03-31,12.15497311827957,100863.3367185484,75.58064516129032,1.857390436625,244.51484604099463,13.268649467888439
2003-04-30,14.807616959063889,100752.09936374999,76.99155092593055,1.6235309454180558,264.09806286549997,5.672354268472223
2003-05-31,15.896919860860214,100648.96012405913,81.12362280702958,1.9053921238978495,309.28183035819893,6.541445311567204
2003-06-30,16.818638773722224,100530.91264175001,85.17043835886112,1.8178336600430556,289.83175612226387,13.474531653337499
2003-07-31,18.26641225376344,100666.34484771505,83.18548799461021,1.79356660634543,292.31914561291666,6.288023032522849
2003-08-31,18.942566804112904,100491.46841561828,82.8082401895027,1.523521505376344,307.8631174093011,6.538671054170699
2003-09-30,19.71184375,100519.55735013889,78.62115705931944,1.5160416666666665,249.37801587305557,14.651050326523611
2003-10-31,17.367988351250002,100454.24669180108,80.53843712665322,1.3879032258064514,180.88918970819893,6.336292015725807
2003-11-30,15.675021175763888,100977.558855,56.105312839983334,1.4816888293208332,146.28762181816668,7.773026137786111
2003-12-31,12.543682795698924,100935.16268467742,71.38978494623656,1.5400537634408602,96.31451612903226,15.343613424189517
